record_id,platform,category,product_id,product_name,listing_description,price_text,price_currency,price_min,price_max,min_order_text,min_order_quantity,min_order_unit,supplier_name,supplier_meta,rating_text,review_text,selling_points,badges_text,is_ad,source_url,image_url,captured_at,search_query,source_language
ali-1601441523766,Alibaba.com,珠宝饰品,1601441523766,J & D经典款式18k金不锈钢白色水钻链网球字母手链,J & D经典款式18k金不锈钢白色水钻链网球字母手链；9月30日前到货；无忧退；复购率 36%,US$1.98,USD,1.98,1.98,最低起订量：2 pieces,2,pieces,"Yiwu J And D Jewelry Co., Ltd.",9年 / CN,4.7,4.7/5.0 / (1127),9月30日前到货 | 无忧退 | 复购率 36%,,False,https://www.alibaba.com/product-detail/J-D-Classic-Style-18K-Gold_1601441523766.html,https://s.alicdn.com/@sc04/kf/Hec17d8d5171b451fa2e58f737732429dN.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1601599347158,Alibaba.com,珠宝饰品,1601599347158,时尚幸运四叶草网球手链 红金银红水晶水钻四叶草网球手链,时尚幸运四叶草网球手链 红金银红水晶水钻四叶草网球手链；180 天内底价；10月01日前到货；复购率 20%,US$1.98,USD,1.98,1.98,最低起订量：2 pieces,2,pieces,"Yiwu Xinguang Jewelry Co., Ltd.",1年 / CN,4.3,4.3/5.0 / (51),180 天内底价 | 10月01日前到货 | 复购率 20%,,False,https://www.alibaba.com/product-detail/Fashion-Lucky-Four-Leaf-Clover-Tennis_1601599347158.html,https://s.alicdn.com/@sc04/kf/H4bb3379adebb4c04ade4ac3d0d238fb0B.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1601541732973,Alibaba.com,珠宝饰品,1601541732973,批发便宜的女式手镯自然浅粉色玫瑰石英水晶实心手镯愈合天然石待售,批发便宜的女式手镯自然浅粉色玫瑰石英水晶实心手镯愈合天然石待售；180 天内底价；10月02日前到货；无忧退；复购率 19%,US$9.90,USD,9.90,9.90,最低起订量：1 piece,1,piece,"Donghai Hengmei Crystal Co., Ltd.",10年 / CN,4.6,4.6/5.0 / (355),180 天内底价 | 10月02日前到货 | 无忧退 | 复购率 19%,,False,https://www.alibaba.com/product-detail/Wholesale-Cheap-Womens-Bracelets-Natur-Pale_1601541732973.html,https://s.alicdn.com/@sc04/kf/Hd92dffb120cd40f28e6a31b90bd0f32ej.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1601462539182,Alibaba.com,珠宝饰品,1601462539182,JD GEMS 批发天然石手链 老矿物粉色水晶手链 时尚紫水晶珠手链 适合日常佩戴,JD GEMS 批发天然石手链 老矿物粉色水晶手链 时尚紫水晶珠手链 适合日常佩戴；10月01日前到货；退款保证；复购率 19%,US$0.23-3.19,USD,0.23,3.19,最低起订量：5 pieces,5,pieces,"Yiwu Jingdi Jewelry Co., Ltd.",4年 / CN,4.6,4.6/5.0 / (272),10月01日前到货 | 退款保证 | 复购率 19%,认证,False,https://www.alibaba.com/product-detail/JD-GEMS-Wholesale-Natural-Stone-Bracelet_1601462539182.html,https://s.alicdn.com/@sc04/kf/H5162ce7b00f1424ca494477fdbc1bbadw.png_300x300.png,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1601582950065,Alibaba.com,珠宝饰品,1601582950065,批发钻石18k镀金无光泽时尚金色珠宝手镯不锈钢手镯女手镯,批发钻石18k镀金无光泽时尚金色珠宝手镯不锈钢手镯女手镯；10月02日前到货；退款保证,US$0.76-1.41,USD,0.76,1.41,最低起订量：6 pieces,6,pieces,"Yiwu Feimi Import & Export Co., Ltd.",3年 / CN,4.7,4.7/5.0 / (195),10月02日前到货 | 退款保证,,False,https://www.alibaba.com/product-detail/Wholesale-Diamond-18K-Gold-Plated-Non_1601582950065.html,https://s.alicdn.com/@sc04/kf/Hbf94216d338f4e24b2eef5058195e171K.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1600479032096,Alibaba.com,珠宝饰品,1600479032096,天然石石英水晶珠手链 6 毫米 8 毫米 10 毫米玛瑙手串宝石散珠手链男女款,天然石石英水晶珠手链 6 毫米 8 毫米 10 毫米玛瑙手串宝石散珠手链男女款；10月04日前到货；复购率 16%,US$0.16-13.97,USD,0.16,13.97,最低起订量：12 pieces,12,pieces,"Yiwu Chuanfan Jewelry Co., Ltd.",6年 / CN,4.7,4.7/5.0 / (252),10月04日前到货 | 复购率 16%,认证,False,https://www.alibaba.com/product-detail/Natural-Stone-Quartz-Crystal-Beads-Bracelets_1600479032096.html,https://s.alicdn.com/@sc04/kf/H3db301f29e0a45ca94b0b272e7465af6S.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1601797211396,Alibaba.com,珠宝饰品,1601797211396,KAIMEI 新款时尚批发夏季水晶AB钻石手镯时尚水滴新娘闪亮时尚手链手镯,KAIMEI 新款时尚批发夏季水晶AB钻石手镯时尚水滴新娘闪亮时尚手链手镯；每满 US$100，立减 US$10；180 天内底价；9月28日前到货；退款保证,US$2.31,USD,2.31,2.31,最低起订量：2 pairs,2,pairs,"Yiwu Kaimei E-Commerce Co., Ltd.",9年 / CN,4.5,4.5/5.0 / (268),每满 US$100，立减 US$10 | 180 天内底价 | 9月28日前到货 | 退款保证,,False,https://www.alibaba.com/product-detail/KAIMEI-New-Arrival-Fashion-Wholesale-Summer_1601797211396.html,https://s.alicdn.com/@sc04/kf/H0d1637026e994034999d7cf64d7ac191l.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1600846354850,Alibaba.com,珠宝饰品,1600846354850,批发天然4毫米6毫米8毫米10毫米珍贵宝石治疗水晶男女手链,批发天然4毫米6毫米8毫米10毫米珍贵宝石治疗水晶男女手链；180 天内底价；10月01日前到货；复购率 19%,US$0.58-5.26,USD,0.58,5.26,最低起订量：100 strands,100,strands,"Shenzhen Guangyuan Jewelry Co., Ltd.",17年 / CN,4.9,4.9/5.0 / (37),180 天内底价 | 10月01日前到货 | 复购率 19%,,False,https://www.alibaba.com/product-detail/Wholesale-Natural-4mm-6mm-8mm-10mm_1600846354850.html,https://s.alicdn.com/@sc04/kf/He1328c4f33ea4f85af866b2ff007a48aS.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1601666443998,Alibaba.com,珠宝饰品,1601666443998,本地库存欧美不锈钢女士高端水钻电镀手链不褪色跨境饰品,本地库存欧美不锈钢女士高端水钻电镀手链不褪色跨境饰品；180 天内底价；3 天内发货；无忧退；复购率 17%,US$2.70-3.33,USD,2.70,3.33,最低起订量：2 pieces,2,pieces,"Yiwu Moshine Jewelry Co., Ltd.",2年 / CN,4.9,4.9/5.0 / (148),180 天内底价 | 3 天内发货 | 无忧退 | 复购率 17%,,False,https://www.alibaba.com/product-detail/Local-Stock-European-American-Stainless-Steel_1601666443998.html,https://s.alicdn.com/@sc04/kf/H661898f9c9e04c91b9129df3b9c6b4435.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-62162115055,Alibaba.com,珠宝饰品,62162115055,2025新款网球链手链男士冰镇1排水晶说唱歌手珠光金光闪闪的男士女士珠宝,2025新款网球链手链男士冰镇1排水晶说唱歌手珠光金光闪闪的男士女士珠宝；180 天内底价；10月02日前到货；退款保证；复购率 29%,US$1.50-2.50,USD,1.50,2.50,最低起订量：1 piece,1,piece,Yiwu Uwin Import And Export Limited,8年 / CN,4.7,4.7/5.0 / (740),180 天内底价 | 10月02日前到货 | 退款保证 | 复购率 29%,,False,https://www.alibaba.com/product-detail/2025-New-Arrivals-Tennis-Chain-Bracelet_62162115055.html,https://s.alicdn.com/@sc04/kf/HTB1sMhjeBaE3KVjSZLeq6xsSFXa6.jpg_300x300.jpg,2026-09-08T05:39:25.269000+00:00,crystal bracelet,zh-CN
ali-1600930008170,Alibaba.com,茶具,1600930008170,批发定制印花标志现代彩色白色黑色礼品套装骨瓷陶瓷咖啡杯茶碟,批发定制印花标志现代彩色白色黑色礼品套装骨瓷陶瓷咖啡杯茶碟,US$1.78-2.90,USD,1.78,2.90,最低起订量：36 sets,36,sets,"Henan Lomato Enterprise Co., Ltd.",8年 / CN,4.9,4.9/5.0 / (132),,,False,https://www.alibaba.com/product-detail/Wholesale-Custom-Printed-logo-Modern-Colorful_1600930008170.html,https://s.alicdn.com/@sc04/kf/H3e6a962adbde4b98be3b8249938e6c9eG.png_300x300.png,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1601571829651,Alibaba.com,茶具,1601571829651,陶瓷供应商散装定制logo简约纯白金边中国茶咖啡杯茶盘套装下午茶,"陶瓷供应商散装定制logo简约纯白金边中国茶咖啡杯茶盘套装下午茶；满 US$2,000 立减 5%；无忧退；复购率 15%",US$1.08-1.80,USD,1.08,1.80,最低起订量：1 piece,1,piece,"Chaozhou Chao'an Xingtao Ceramics Co., Ltd.",2年 / CN,4.9,4.9/5.0 / (14),"满 US$2,000 立减 5% | 无忧退 | 复购率 15%",,False,https://www.alibaba.com/product-detail/Ceramic-Supplier-Bulk-Custom-logo-Simple_1601571829651.html,https://s.alicdn.com/@sc04/kf/H6ed2949ed18e4b7e8da163a79ed176caU.png_300x300.png,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1601539228149,Alibaba.com,茶具,1601539228149,格灵熟练制造陶瓷抹茶茶碗时尚粉色抹茶工具套装，带礼品包装,格灵熟练制造陶瓷抹茶茶碗时尚粉色抹茶工具套装，带礼品包装；11月14日前到货；无忧退,US$9.60,USD,9.60,9.60,最低起订量：2 sets,2,sets,"Yiwu City Geling Bamboo And Wooden Products Co., Ltd.",6年 / CN,4.1,4.1/5.0 / (96),11月14日前到货 | 无忧退,,False,https://www.alibaba.com/product-detail/Geling-Skillful-Manufacture-Ceramic-Matcha-Chawan_1601539228149.html,https://s.alicdn.com/@sc04/kf/H166579dbe90047fe8cde691b2c88b741t.jpg_300x300.jpg,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-60817480849,Alibaba.com,茶具,60817480849,p71独特的瓷制茶杯 & 茶碟，素白优雅陶瓷卡布奇诺杯套装 & 茶具,"p71独特的瓷制茶杯 & 茶碟，素白优雅陶瓷卡布奇诺杯套装 & 茶具；满 US$2,000 立减 5%",US$0.70-1,USD,0.70,1,最低起订量：100 sets,100,sets,"Shijiazhuang Langkuo Trading Co., Ltd.",9年 / CN,4.8,4.8/5.0 / (49),"满 US$2,000 立减 5%",,False,https://www.alibaba.com/product-detail/P71-Unique-Porcelain-Tea-Cup-Saucer_60817480849.html,https://s.alicdn.com/@sc04/kf/H8d8d97877aab471b8c3173d39a54f01er.png_300x300.png,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1601825956593,Alibaba.com,茶具,1601825956593,厂家直销日本陶瓷樱花抹茶茶具套装 8 件套可定制 - 茶筅、茶碗、茶勺、滤网、礼盒,厂家直销日本陶瓷樱花抹茶茶具套装 8 件套可定制 - 茶筅、茶碗、茶勺、滤网、礼盒,US$2.50-10,USD,2.50,10,最低起订量：50 pieces,50,pieces,"Yiwu Zking Craft Co., Ltd.",1年 / CN,5.0,5.0/5.0 / (16),,,False,https://www.alibaba.com/product-detail/Factory-Direct-Japanese-Ceramic-Sakura-Matcha_1601825956593.html,https://s.alicdn.com/@sc04/kf/H3abfbd193b0d479eb4e71b5cf1b5257da.jpg_300x300.jpg,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1600313090933,Alibaba.com,茶具,1600313090933,12pcs新英格兰优雅风格奢华金圈200cc咖啡杯茶托茶具,12pcs新英格兰优雅风格奢华金圈200cc咖啡杯茶托茶具；无忧退；复购率 28%,US$41.67-62.46,USD,41.67,62.46,最低起订量：10 sets,10,sets,"Karosa Chinaware (shenzhen) Co., Ltd.",12年 / CN,4.8,4.8/5.0 / (23),无忧退 | 复购率 28%,,False,https://www.alibaba.com/product-detail/12pcs-New-England-Elegant-Style-Luxury_1600313090933.html,https://s.alicdn.com/@sc04/kf/H262d02eee5704339b24ceb7f3b9dc571e.jpg_300x300.jpg,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1601271293335,Alibaba.com,茶具,1601271293335,15pcs豪华1125毫升瓷茶茶几套装顶级金色花卉复古埃塞俄比亚陶瓷杯套装,15pcs豪华1125毫升瓷茶茶几套装顶级金色花卉复古埃塞俄比亚陶瓷杯套装；11月14日前到货；无忧退,US$32.90,USD,32.90,32.90,最低起订量：4 sets,4,sets,"Yiwu Chengyu Import And Export Co., Ltd.",2年 / CN,4.1,4.1/5.0 / (8),11月14日前到货 | 无忧退,,False,https://www.alibaba.com/product-detail/15pcs-Luxury-1125ml-Porcelain-Tea-Coffee_1601271293335.html,https://s.alicdn.com/@sc04/kf/He73dfad15af547188bfb042713239cda1.jpg_300x300.jpg,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1601567749257,Alibaba.com,茶具,1601567749257,传统陶瓷抹茶茶碗，带喷口和搅拌器支架，用于仪式查万抹茶搅拌碗咖啡和茶具,传统陶瓷抹茶茶碗，带喷口和搅拌器支架，用于仪式查万抹茶搅拌碗咖啡和茶具；10月02日前到货；退款保证,US$3-4.50,USD,3,4.50,最低起订量：2 pieces,2,pieces,"Xinxiang Hongqi District Huafeiwu Import And Export Trade Co., Ltd.",2年 / CN,4.7,4.7/5.0 / (153),10月02日前到货 | 退款保证,,False,https://www.alibaba.com/product-detail/Traditional-Ceramic-Matcha-Tea-Bowl-with_1601567749257.html,https://s.alicdn.com/@sc04/kf/H31ca59182d9d432492b9d7d378f643468.jpg_300x300.jpg,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1601588282025,Alibaba.com,茶具,1601588282025,定制徽标仪式用抹茶茶具套装，带木制礼盒，专业7件套竹制搅拌器和陶瓷碗套装,定制徽标仪式用抹茶茶具套装，带木制礼盒，专业7件套竹制搅拌器和陶瓷碗套装；每满 US$100，立减 US$10；无忧退,US$4-7.90,USD,4,7.90,最低起订量：100 sets,100,sets,Yiwu Wangzone E-Commerce Firm,2年 / CN,4.3,4.3/5.0 / (33),每满 US$100，立减 US$10 | 无忧退,,False,https://www.alibaba.com/product-detail/Custom-Logo-Ceremonial-Matcha-Tea-Set_1601588282025.html,https://s.alicdn.com/@sc04/kf/H3d9b02f460c44302b3faf0c80343d9a24.jpg_300x300.jpg,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1601671906932,Alibaba.com,茶具,1601671906932,批发70毫升简约白色陶瓷茶杯套装定制徽标环保商务礼品批量办公用,批发70毫升简约白色陶瓷茶杯套装定制徽标环保商务礼品批量办公用；10月02日前到货；退款保证；复购率 20%,US$0.45-0.90,USD,0.45,0.90,最低起订量：20 pieces,20,pieces,"Chaozhou Jiale Porcelain Co., Ltd.",2年 / CN,4.6,4.6/5.0 / (39),10月02日前到货 | 退款保证 | 复购率 20%,,False,https://www.alibaba.com/product-detail/Wholesale-70ml-Minimalist-White-Ceramic-Porcelain_1601671906932.html,https://s.alicdn.com/@sc04/kf/H489b6ff9c8874e6db1d2294811ef385b0.jpg_300x300.jpg,2026-09-08T05:39:29.132000+00:00,ceramic tea set,zh-CN
ali-1601723929817,Alibaba.com,香薰蜡烛,1601723929817,批发创意石膏罐干花大豆蜡香薰蜡烛豪华手工家居装饰摆件香薰蜡烛,"批发创意石膏罐干花大豆蜡香薰蜡烛豪华手工家居装饰摆件香薰蜡烛；满 US$2,000 立减 5%；无忧退",US$1.30-1.45,USD,1.30,1.45,最低起订量：10 pieces,10,pieces,"Sichuan Hongchen Ruihe Trade Co., Ltd.",6年 / CN,4.9,4.9/5.0 / (53),"满 US$2,000 立减 5% | 无忧退",,False,https://www.alibaba.com/product-detail/Wholesale-Creative-Plaster-Jar-Dried-Flower_1601723929817.html,https://s.alicdn.com/@sc04/kf/Ha6bd3754220e42a785829ea40c710cd3w.jpg_300x300.jpg,2026-09-08T05:39:32.972000+00:00,scented candle,zh-CN
ali-1601787274206,Alibaba.com,香薰蜡烛,1601787274206,冰咖啡香薰蜡烛 - 多层饮料形状香薰蜡烛，适合家居装饰和送礼，市场畅销,"冰咖啡香薰蜡烛 - 多层饮料形状香薰蜡烛，适合家居装饰和送礼，市场畅销；满 US$2,000 立减 5%；无忧退",US$0.30-0.50,USD,0.30,0.50,最低起订量：50 pieces,50,pieces,AQUILUXE BLOOM LIMITED,1年 / HK,4.9,4.9/5.0 / (11),"满 US$2,000 立减 5% | 无忧退",,False,https://www.alibaba.com/product-detail/Iced-Coffee-Aromatherapy-Candle-Layered-Drink_1601787274206.html,https://s.alicdn.com/@sc04/kf/H58c1145b75014b4f9d9deb0d7490a07cl.jpg_300x300.jpg,2026-09-08T05:39:32.972000+00:00,scented candle,zh-CN
ali-1601634047989,Alibaba.com,香薰蜡烛,1601634047989,艾坤定制设计慢燃香薰蜡烛客厅优雅温柔氛围办公室装饰香薰蜡烛,"艾坤定制设计慢燃香薰蜡烛客厅优雅温柔氛围办公室装饰香薰蜡烛；满 US$2,000 立减 5%；无忧退；复购率 15%",US$1.25-1.99,USD,1.25,1.99,最低起订量：100 pieces,100,pieces,"Changchun Ai Kun Technology Co., Ltd.",6年 / CN,4.7,4.7/5.0 / (87),"满 US$2,000 立减 5% | 无忧退 | 复购率 15%",,False,https://www.alibaba.com/product-detail/AIKUN-Custom-Design-Slow-Burning-Scented_1601634047989.html,https://s.alicdn.com/@sc04/kf/H87a3425575e845aaa2a1e46bd33eccb6Y.jpg_300x300.jpg,2026-09-08T05:39:32.972000+00:00,scented candle,zh-CN
ali-1601006963069,Alibaba.com,香薰蜡烛,1601006963069,持久香味手工香味蜡烛可定制标签奢华复古锡香味蜡烛,"持久香味手工香味蜡烛可定制标签奢华复古锡香味蜡烛；满 US$2,000 立减 5%；无忧退",US$0.58-0.89,USD,0.58,0.89,最低起订量：5 pieces,5,pieces,"Molly Chenguang Chengdu Technology Co., Ltd.",4年 / CN,4.5,4.5/5.0 / (405),"满 US$2,000 立减 5% | 无忧退",认证,False,https://www.alibaba.com/product-detail/Long-Lasting-Fragrance-Handmade-Scented-Candles_1601006963069.html,https://s.alicdn.com/@sc04/kf/Hf91efd3f4bb1491caf77965c4191d6a7g.jpg_300x300.jpg,2026-09-08T05:39:32.972000+00:00,scented candle,zh-CN
ali-1601712478222,Alibaba.com,香薰蜡烛,1601712478222,天然植物蜡创意香薰蜡烛，含多种干花精油香氛，家居装饰，婚礼礼品,天然植物蜡创意香薰蜡烛，含多种干花精油香氛，家居装饰，婚礼礼品；无忧退；复购率 16%,US$1.12-1.32,USD,1.12,1.32,最低起订量：10 pieces,10,pieces,"Hangzhou Yannoxi Trading Co., Ltd.",2年 / CN,4.8,4.8/5.0 / (78),无忧退 | 复购率 16%,,False,https://www.alibaba.com/product-detail/Natural-Plant-Wax-Creative-Scented-Candles_1601712478222.html,https://s.alicdn.com/@sc04/kf/He9308ced164a4a1caecbb42e057f03fcT.jpg_300x300.jpg,2026-09-08T05:39:32.972000+00:00,scented candle,zh-CN
ali-1600570236062,Alibaba.com,香薰蜡烛,1600570236062,Mescente Top批发香气芳香手工制作大咖啡私人标签3三灯芯香味蜡婚礼礼品蜡烛,Mescente Top批发香气芳香手工制作大咖啡私人标签3三灯芯香味蜡婚礼礼品蜡烛；复购率 21%,US$1.99,USD,1.99,1.99,最低起订量：300 pieces,300,pieces,"Suzhou M&scent Arts&crafts Co., Ltd.",8年 / CN,4.9,4.9/5.0 / (9),复购率 21%,认证,False,https://www.alibaba.com/product-detail/Mescente-Top-Wholesale-Aroma-Aromatic-Hand_1600570236062.html,https://s.alicdn.com/@sc04/kf/H266b8ff94b9d46b28991a83d9f05ab5aA.jpg_300x300.jpg,2026-09-08T05:39:32.972000+00:00,scented candle,zh-CN
